Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre denfants à charge;Département dhabitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence dutilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Appellation du 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Seul(e) sans enfant;Homme;1;1;0;6;Moins de 30 ans;2009;MUTUELLE DES MOTARDS;600;Tous les jours;10000;R6 (YZF-R6);YAMAHA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Conseiller bancaire;Employé;True
En couple sans enfant;Homme;2;1;0;6;60-69 ans;2006;MACIF;1200;Quelques fois par mois;2000;R1200GS ABS;BMW;Trail / Supermotard;Parking privé clos;Pour les loisirs;600;SANS;Retraité;False
En couple avec enfant(s);Homme;3;3;1;13;50-59 ans;2014;AMF;850;Tous les jours;5000;MT 09 Tracer;Yamaha;;Garage individuel (ou box privatif);Pour les loisirs;500;Expert en Lutte contre le blanchiment (en pré-retraite);Cadre;False
En couple avec enfant(s);Femme;4;1;2;75;30-39 ans;2017;AMV (ASSURANCE MOTO VERTE);650;Tous les jours;1500;Z650  35KW;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;chargée RH;Cadre;False
En couple avec enfant(s);Homme;4;1;2;13;40-49 ans;2000;AUTRE;1200;Quelques fois par semaine;6000;GSX INAZUMA;SUZUKI;Roadster;Voie publique;Pour les loisirs;400;Chargé daffaire;Employé;True
En couple sans enfant;Homme;2;1;0;55;60-69 ans;2009;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;4000;K1300GT PACK 3;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;retraité;Retraité;False
Autre;Homme;2;1;0;64;60-69 ans;2014;AMV (ASSURANCE MOTO VERTE);1400;Tous les jours;5000;GTR;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;400;Retraité;Retraité;False
En couple avec enfant(s);Homme;4;3;2;69;40-49 ans;2016;MUTUELLE DES MOTARDS;750;Tous les jours;9000;NC750XD DCT;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;500;Informaticien;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;3;0;87;Moins de 30 ans;2007;MUTUELLE DES MOTARDS;990;Quelques fois par semaine;12000;ADVENTURE ABS;KTM;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;postier;Employé;False
En couple sans enfant;Homme;2;1;0;75;40-49 ans;2015;MATMUT;675;Tous les jours;8000;STREET TRIPLE R ABS;TRIUMPH;Scooter;Garage collectif;Pour les trajets domicile travail;700;Senior Developer;Cadre;False
Seul(e) sans enfant;Homme;1;1;0;6;Moins de 30 ans;2012;MUTUELLE DES MOTARDS;650;Tous les jours;10000;ER-6F  34CV;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Ingénieur;Cadre;False
