Civilité du membre;Profession du membre;Secteur du 2RM;Statut de la qualification;Sociétaire;Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre d enfants à charge;Département d habitation en France;Age du membre;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence d utilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
1;Conseiller bancaire;Non;Qualification initiale;Oui;Seul(e) sans enfant;Homme;1;1;0;6;27;Moins de 30 ans;2009;MUTUELLE DES MOTARDS;600;Tous les jours;10000;YAMAHA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Conseiller bancaire;Employé;True
1;SANS;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;6;65;60-69 ans;2006;MACIF;1200;Quelques fois par mois;2000;BMW;Trail / Supermotard;Parking privé clos;Pour les loisirs;600;SANS;Retraité;False
1;Contrôleur interne Bancaire;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;3;3;1;13;57;50-59 ans;2014;AMF;850;Tous les jours;5000;Yamaha;?;Garage individuel (ou box privatif);Pour les loisirs;500;Expert en Lutte contre le blanchiment (en pré-retraite);Cadre;False
2;chargée RH;Non;Qualification initiale;Non;En couple avec enfant(s);Femme;4;1;2;75;39;30-39 ans;2017;AMV (ASSURANCE MOTO VERTE);650;Tous les jours;1500;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;chargée RH;Cadre;False
1;Chargé d affaire;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;1;2;13;46;40-49 ans;2000;AUTRE;1200;Quelques fois par semaine;6000;SUZUKI;Roadster;Voie publique;Pour les loisirs;400;Chargé d affaire;Employé;True
1;Interprete;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;55;63;60-69 ans;2009;MUTUELLE DES MOTARDS;1300;Quelques fois par mois;4000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;retraité;Retraité;False
1;Technicien;Non;Qualification initiale;Non;Autre;Homme;2;1;0;64;64;60-69 ans;2014;AMV (ASSURANCE MOTO VERTE);1400;Tous les jours;5000;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;400;Retraité;Retraité;False
1;Informaticien;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;3;2;69;47;40-49 ans;2016;MUTUELLE DES MOTARDS;750;Tous les jours;9000;HONDA;Roadster;Parking privé clos;Pour les trajets domicile travail;500;Informaticien;Profession intermédiaire;False
1;postier;Non;Qualification initiale;Oui;Seul(e) sans enfant;Homme;1;3;0;87;28;Moins de 30 ans;2007;MUTUELLE DES MOTARDS;990;Quelques fois par semaine;12000;KTM;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;postier;Employé;False
1;Senior Developer;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;75;45;40-49 ans;2015;MATMUT;675;Tous les jours;8000;TRIUMPH;Scooter;Garage collectif;Pour les trajets domicile travail;700;Senior Developer;Cadre;False
1;Ingénieur;Non;Qualification initiale;Oui;Seul(e) sans enfant;Homme;1;1;0;6;26;Moins de 30 ans;2012;MUTUELLE DES MOTARDS;650;Tous les jours;10000;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Ingénieur;Cadre;False
1;Technicien;Non;Mise à jour;Non;En couple sans enfant;Homme;2;2;0;68;50;50-59 ans;2008;MACIF;1000;Quelques fois par semaine;8000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;1000;Technicien;Cadre;False
1;Directeur Etablissement Penite;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;19;64;60-69 ans;2011;MAAF;500;Quelques fois par semaine;8000;PEUGEOT;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;Directeur Etablissement Penite;Retraité;False
1;Mécanicien auto;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;87;29;Moins de 30 ans;2008;MUTUELLE DES MOTARDS;600;Quelques fois par semaine;4000;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;600;Mécanicien auto;Employé;False
1;technicien CND;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;31;39;30-39 ans;2002;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;10000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;technicien CND;Employé;True
