Répondant;Trois premiers mots;Liberté;Plaisir / bonheur / heureux / enfin;Balade / promenade / gaz / rouler / moto;Sécurité / danger;Social / amis / famille / enfant;Trois premiers mots;;;Quels ont été, pour vous, les inconvénients du confinement ?;Aucun;Liberté / contrainte / bloqué / isolement / bouger / mobilité / moto / sortir / déplacement / enfermement;Financier / Argent / Revenu;Social / ami / famille;Inconvénients;;;Quels ont été, pour vous, les avantages du confinement ?;Aucun;Circulation;Temps / Libre / repos / calme / stress;Pollution / nature;Epidémie / virus / contamination;Economie / carburant / coût;Avantages;
103180392;Balade Amis Tranquille;;;Balade Amis Tranquille;;Balade Amis Tranquille;Catégorie;Nombre de réponses;;Sentiment de liberté retiré;;Sentiment de liberté retiré;;;Catégorie;Nombre de réponses;;Se recentrer sur les choses importantes;;;;;;;Catégorie;Nombre de réponses
103180451;Liberté Plaisir Balade;Liberté Plaisir Balade;Liberté Plaisir Balade;Liberté Plaisir Balade;;;Liberté;511;;Trop de contraintes;;Trop de contraintes;;;Aucun;214;;Aucun avantage;Aucun avantage;;;;;;Aucun;448
103180408;route de campagne, découverte plaisir de conduire;;route de campagne, découverte plaisir de conduire;;;;Plaisir / bonheur / heureux / enfin;384;;de ne pas pouvoir rouler en 2 roues avec le beau temps;;;;;Liberté / contrainte / bloqué / isolement / bouger / mobilité / moto / sortir / déplacement / enfermement;415;;plus de temps pour partager sur les forums;;;plus de temps pour partager sur les forums;;;;Circulation;37
103180517;rouler liberté soleil;rouler liberté soleil;;rouler liberté soleil;;;Balade / promenade / gaz / rouler / moto;587;;manque de lien social avec ma famille et mes amis;;;;manque de lien social avec ma famille et mes amis;Financier / Argent / Revenu;14;;découverte de mon lieu de vie;;;;;;;Temps / Libre / repos / calme / stress;312
103180430;Balade Liberté Vivre;Balade Liberté Vivre;;Balade Liberté Vivre;;;Sécurité / danger;42;;Rester enfermé et ne pas pouvoir rouler ou profiter de la nature;;Rester enfermé et ne pas pouvoir rouler ou profiter de la nature;;;Social / ami / famille;214;;Pouvoir sortir de mon appartement...;;;;;;;Pollution / nature;62
103180452;promenades liberté social;promenades liberté social;;promenades liberté social;;promenades liberté social;Social / amis / famille / enfant;162;;Limiter la libéré de se déplacer et de contacts sociaux.;;;;Limiter la libéré de se déplacer et de contacts sociaux.;;;;Se protéger du risque de contamination.;;;;;;;Epidémie / virus / contamination;26
103180533;Balades Sorties Loisirs;;;Balades Sorties Loisirs;;;;;;Rester bloqué chez soi;;Rester bloqué chez soi;;;;;;Economie sur le carburant, les loisirs (cinémas, restaurants, ...);;;;;;Economie sur le carburant, les loisirs (cinémas, restaurants, ...);Economie / carburant / coût;40
103180519;Moto Liberté Enfin;Moto Liberté Enfin;Moto Liberté Enfin;Moto Liberté Enfin;;;;;;Horaire a rallonge;;;;;;;;Plus de travail;;;;;;;;
103180527;balade amis liberté;balade amis liberté;;balade amis liberté;;balade amis liberté;;;;j'ai reporté un roadtrip de plusieurs milliers de kilomètres;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180456;Ballade Rouler Liberté;Ballade Rouler Liberté;;Ballade Rouler Liberté;;;;;;"Condition de ""bureau"" un peu difficile dans mon salon... horaire un peu plus à rallonge.";;;;;;;;J'ai gardé mon travail LOL;;;;;;;;
103180468;Ballade Nature Amis;;;Ballade Nature Amis;;Ballade Nature Amis;;;;Interaction entre collègues;;;;;;;;Gestion du temps et pas de temps de trajet pour le travail;;;Gestion du temps et pas de temps de trajet pour le travail;;;;;
103180450;Liberté Plaisir Amis;Liberté Plaisir Amis;Liberté Plaisir Amis;;;Liberté Plaisir Amis;;;;#NOM?;;;;;;;;- Me rendre au travail avec moins de circulation - avoir mes supérieurs en télétravail et pas sur site!;;- Me rendre au travail avec moins de circulation - avoir mes supérieurs en télétravail et pas sur site!;;;;;;
103180474;sortie balade rouler;;;sortie balade rouler;;;;;;Trop.... beaucoup trop d 'informations autant contradictoires les unes que les autres.Théorie de la peur trop employée dans les médias et les chaines d 'infos;;;;;;;;Se consacrer pleinement à des activités de loisirs, retrouver une vie de famille pleine et entière;;;;;;;;
103180539;Liberté Plaisir Balade;Liberté Plaisir Balade;Liberté Plaisir Balade;Liberté Plaisir Balade;;;;;;Salaire diminué, manque de relation social;;;;Salaire diminué, manque de relation social;;;;Temps libre, pas de pression professionnel;;;Temps libre, pas de pression professionnel;;;;;
103180464;Liberté Ballade Prudence;Liberté Ballade Prudence;;Liberté Ballade Prudence;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Permis de reflechir sur ma nouvelle moto;;;;;;;;
103180549;liberte super top;liberte super top;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180675;voyage évidence danger;;;;voyage évidence danger;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Tranquillité, Temps, Silence;;;Tranquillité, Temps, Silence;;;;;
103180514;Balade Verifications Securite;;;Balade Verifications Securite;;;;;;Manque Interactions sociales et familiales eloignees;;;;Manque Interactions sociales et familiales eloignees;;;;Aucun avantage;Aucun avantage;;;;;;;
103180635;Balade Amis Visites;;;Balade Amis Visites;;Balade Amis Visites;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180570;plaisir travail balade;;plaisir travail balade;plaisir travail balade;;;;;;Rester à la maison sans sortir;;Rester à la maison sans sortir;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180642;fair eun tour faire un trou avec des copains tout de suite;;;;;fair eun tour faire un trou avec des copains tout de suite;;;;j'ai travaillé comme un malade;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180460;Plaisir Voyage Passion;;Plaisir Voyage Passion;;;;;;;Perte totale de liberté;;Perte totale de liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180485;long virage balade;;;long virage balade;;;;;;prise de poids;;;;;;;;réduction de la pollution de l'air;;;;réduction de la pollution de l'air;;;;
103180556;liberté travail circulation;liberté travail circulation;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180630;Amis Balades BBQ;;;Amis Balades BBQ;;Amis Balades BBQ;;;;Pas de sortie en bécanes avec les potes;;;;;;;;Du repos et du calme;;;Du repos et du calme;;;;;
103180643;Ride The World;;;;;;;;;Je n'ai plus pu faire du sport.;;;;;;;;Il y a eu moins de perte de temps au travail, car il y a eu moins de réunions inutiles.;;;Il y a eu moins de perte de temps au travail, car il y a eu moins de réunions inutiles.;;;;;
103180577;Yarglaaaa mon casque mes gants;;;;;;;;;Ne pas pouvoir faire de balade moto.;;Ne pas pouvoir faire de balade moto.;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180509;Enfin Seulement 100 km Pas de resto/bar , c'est galère;;Enfin Seulement 100 km Pas de resto/bar , c'est galère;;;;;;;Je n'ai pas pu faire de balade moto les week-end. Je n'ai pas pu voir mes amis. Mon activité professionnelle a été très fastidieuse.;;Je n'ai pas pu faire de balade moto les week-end. Je n'ai pas pu voir mes amis. Mon activité professionnelle a été très fastidieuse.;;Je n'ai pas pu faire de balade moto les week-end. Je n'ai pas pu voir mes amis. Mon activité professionnelle a été très fastidieuse.;;;;J'ai passé plus de temps avec mes enfants. J'ai dépensé beaucoup moins d'argent.;;;J'ai passé plus de temps avec mes enfants. J'ai dépensé beaucoup moins d'argent.;;;;;
103180713;Balade Forêt Bien être;;;Balade Forêt Bien être;;;;;;Prise de poids !!! Stress, inquiétude, insomnie...;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180781;enfin libre dehors;;enfin libre dehors;;;;;;;Pfff;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180641;Liberté balades bonheur;Liberté balades bonheur;Liberté balades bonheur;Liberté balades bonheur;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Ne plus supporter ses collègues au quotidien;;;;;;;;
103180720;balade à deux grand air;;;balade à deux grand air;;;;;;- repli sur soi, moins de contact avec les collègues;;;;;;;;#NOM?;;;;;;;;
103180766;Enfin  ;;Enfin  ;;;;;;;Privation de liberté;;Privation de liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180804;Enfin Plaisir Embrayage;;Enfin Plaisir Embrayage;;;;;;;Pas de tour en moto;;Pas de tour en moto;;;;;;Le calme et le silence.;;;Le calme et le silence.;;;;;
103180755;ballades potes évasion;;;ballades potes évasion;;;;;;la perte de liberté de mouvements;;la perte de liberté de mouvements;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180790;Chic ouf enfin;;Chic ouf enfin;;;;;;;Perte de liberté. Infantilisation.;;Perte de liberté. Infantilisation.;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180645;Liberté Balades Anti stress;Liberté Balades Anti stress;;Liberté Balades Anti stress;;;;;;Le confinement lui même, devoir se justifier via les attestations;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180744;Libération Joie Reprise difficile;;;;;;;;;Solitude, proximité, atteinte à notre liberté de mouvement;;Solitude, proximité, atteinte à notre liberté de mouvement;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180626;ballades rencontre liberte;ballades rencontre liberte;;ballades rencontre liberte;;;;;;ne pas pouvoir me deplacer librement;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180640;enfin! virages liberté;enfin! virages liberté;enfin! virages liberté;;;;;;;la baisse de revenus, le fait de rester trop longtemps confiné;;;la baisse de revenus, le fait de rester trop longtemps confiné;;;;;me reposer;;;me reposer;;;;;
103180816;balades potes liberté;balades potes liberté;;balades potes liberté;;;;;;ne pas faire de balades moto;;ne pas faire de balades moto;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180782;ballades sensations évasion;;;ballades sensations évasion;;;;;;La difficulté à voir des proches qui habitent loin.;;;;;;;;La diminution de la pollution et trouver de nouveaux moyens de travailler à distance;;;;La diminution de la pollution et trouver de nouveaux moyens de travailler à distance;;;;
103180763;sorties balades circuits;;;sorties balades circuits;;;;;;le manque de contacts humains ne pas pouvoir se déplacer;;;;;;;;moins de circulation,de stress,de bruit;;moins de circulation,de stress,de bruit;moins de circulation,de stress,de bruit;;;;;
103180529;liberte passion amis;liberte passion amis;;;;liberte passion amis;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180797;enfin ballade plaisir;;enfin ballade plaisir;enfin ballade plaisir;;;;;;Perte libertés de sortir quand on veut et ou on veut;;Perte libertés de sortir quand on veut et ou on veut;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180685;Gonflage pneus Bouger Se rehabituer;;;;;;;;;Ne pas voir de collègues. Le télétravail...;;;;;;;;Pas de déplacement donc plus temps. Plus de temps avec mes proches;;;Pas de déplacement donc plus temps. Plus de temps avec mes proches;;;;;
103180694;grande balade loin;;;grande balade loin;;;;;;Plus de sport, trajet limité;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180778;Rouler Liberté Joie;Rouler Liberté Joie;;Rouler Liberté Joie;;;;;;Annoncé trop tard (delai de préparation trop court) Sentiment de manque de préparation et d’anticipation;;;;;;;;Du temps pour moi Une prise de recul Un besoin pour une meilleure organisation de ma journée;;;Du temps pour moi Une prise de recul Un besoin pour une meilleure organisation de ma journée;;;;;
103180663;reprise facilité de déplacement grand air;;;;;;;;;Baisse d'activité du secteur;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180673;pouvoir rouler liberté groupe;pouvoir rouler liberté groupe;;pouvoir rouler liberté groupe;;;;;;et la LIBERTE !!!!!?????;;et la LIBERTE !!!!!?????;;;;;;Aucun si ce n'est sanitaire , ah si !!! j'ai compris que je supporterai très bien ma prochaine retraite, que je redoutais , et puis aussi la paix laissée à la nature ,;Aucun si ce n'est sanitaire , ah si !!! j'ai compris que je supporterai très bien ma prochaine retraite, que je redoutais , et puis aussi la paix laissée à la nature ,;;;Aucun si ce n'est sanitaire , ah si !!! j'ai compris que je supporterai très bien ma prochaine retraite, que je redoutais , et puis aussi la paix laissée à la nature ,;;;;
103180864;liberté plaisir évasion;liberté plaisir évasion;liberté plaisir évasion;;;;;;;Manque de liberté dans les mouvements;;Manque de liberté dans les mouvements;;;;;;Se recentrer sur l'essentiel entre les gens;;;;;;;;
103180858;balade sport amis;;;balade sport amis;;balade sport amis;;;;baisse du nombre de Km en footing.;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180771;beau temps batterie cool;;;;;;;;;La cohabitation, même en famille est parfois pesante.;;;;La cohabitation, même en famille est parfois pesante.;;;;Plus de temps libre. Et le temps de faire les choses en prenant son temps!;;;Plus de temps libre. Et le temps de faire les choses en prenant son temps!;;;;;
103180880;Aucun Aucun Aucun;;;;;;;;;Le manque de liberté;;Le manque de liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180976;balades liberte ouf;balades liberte ouf;;balades liberte ouf;;;;;;ne plus voir mes enfants;;;;;;;;plus de circulation, moins de bruit;;plus de circulation, moins de bruit;;;;;;
103180760;Bien être Sortie Plaisir;;Bien être Sortie Plaisir;;;;;;;Le télétravail;;;;;;;;Moins de monde sur les routes;;;;;;;;
103180906;moto balade montagne;;;moto balade montagne;;;;;;Prise de poids...!!!;;;;;;;;Plus de temps pour ne rien faire;;;Plus de temps pour ne rien faire;;;;;
103180876;liberté paysage rencontre;liberté paysage rencontre;;;;;;;;Liberticide;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180927;Ouf Liberté les cons sont revenus de + en + nombreux;Ouf Liberté les cons sont revenus de + en + nombreux;;;;;;;;Aucun sauf l'attestation La faune a repris un peu son territoire mais c'est à double tranchant;Aucun sauf l'attestation La faune a repris un peu son territoire mais c'est à double tranchant;;;;;;;Moins de pollution atmosphérique, sonores Moins de déchets dans la nature La faune a repris un peu son territoire mais c'est à double tranchant;;;;Moins de pollution atmosphérique, sonores Moins de déchets dans la nature La faune a repris un peu son territoire mais c'est à double tranchant;;;;
103180860;plaisir reprise en main ;;plaisir reprise en main ;;;;;;;perte de salaire;;;;;;;;repos physique;;;repos physique;;;;;
103180987;Ballade Liberté Amis;Ballade Liberté Amis;;Ballade Liberté Amis;;Ballade Liberté Amis;;;;Pas de moto;;Pas de moto;;;;;;Le silence dans ma rue;;;;;;;;
103180865;Liberté Bien-être Pyrénées;Liberté Bien-être Pyrénées;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Le silence autour de moi;;;;;;;;
103180998;rouler relax non coincé;;;rouler relax non coincé;;;;;;la prison;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180952;embouteillage remontées retour;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Circulation fluide dans Paris et un beau ciel le matin;;Circulation fluide dans Paris et un beau ciel le matin;;;;;;
103180986;Liberté Ballade Duo;Liberté Ballade Duo;;Liberté Ballade Duo;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181003;plaisir grand air balade;;plaisir grand air balade;plaisir grand air balade;;;;;;ne pas pouvoir partager avec les autres;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181018;distanciation grand air soulagement;;;;;;;;;Autres activités mises en sommeil;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180833;heureux stress prudence;;heureux stress prudence;;;;;;;j'ai respecté scrupuleusement le confinement, et suis stressé en pensant à la reprise d'activité, peur de contracter le virus;;;;;;;;plus de temps pour apprendre en ligne (tutoriels mécaniques) et pour la mise en pratique;;;plus de temps pour apprendre en ligne (tutoriels mécaniques) et pour la mise en pratique;;;;;
103181044;Ballade Restaurant Mer;;;Ballade Restaurant Mer;;;;;;Loupé plusieurs WE ensoleillés;;;;;;;;Calme, calme, calme;;;Calme, calme, calme;;;;;
103180733;Moto Moto Moto;;;Moto Moto Moto;;;;;;Ne pas rouler;;;;;;;;Du temps pour m'occuper de mon logement, jardin et mes motos;;;Du temps pour m'occuper de mon logement, jardin et mes motos;;;;;
103181038;virées potes semi liberté;virées potes semi liberté;;;;;;;;les auto autorisations, même en 39 les SS étaient plus cools;;;;;;;;comme tout prisonnier innocent en résidence surveillée;;;;;;;;
103180867;virolos plaisir de rouler un verre entre amis avec les règles saniraires;;virolos plaisir de rouler un verre entre amis avec les règles saniraires;virolos plaisir de rouler un verre entre amis avec les règles saniraires;;virolos plaisir de rouler un verre entre amis avec les règles saniraires;;;;Privation des balades motos (courte et longue distance);;Privation des balades motos (courte et longue distance);;;;;;Moins de personnes sur les routes, moins de risque;;;;;;;;
103180899;liberté voyage libéré;liberté voyage libéré;;;;;;;;les relations sociales !;;;;les relations sociales !;;;;Prendre le temps de bien faire les choses, arrêter le hamster dans sa roue...;;;Prendre le temps de bien faire les choses, arrêter le hamster dans sa roue...;;;;;
103180992;pollution danger plus de circulation;;;;pollution danger plus de circulation;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Le ralentissement de mon activité m'a permis de me lancer plutôt que prévu sur ma reconversion en cours, La rénovation de la maison ont eu un coup de boost, L'aménagement du jardin et la mise en place du potager aussi Enfin du temps !;;;Le ralentissement de mon activité m'a permis de me lancer plutôt que prévu sur ma reconversion en cours, La rénovation de la maison ont eu un coup de boost, L'aménagement du jardin et la mise en place du potager aussi Enfin du temps !;;;;;
103180980;Prudence Vigilance Trafic dense;;;;;;;;;Trouver des pièces motos;;Trouver des pièces motos;;;;;;Beaucoup moins de monde sur la route, donc route plus sure. Moins de monde en centre, plus de place pour se garer.;;;;;;;;
103180937;Liberté Plaisr Enfin;Liberté Plaisr Enfin;Liberté Plaisr Enfin;;;;;;;Liberté, bridage inutile par incompétence des dirigeants;;Liberté, bridage inutile par incompétence des dirigeants;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181042;sortir rouler un peu sport;;;sortir rouler un peu sport;;;;;;Plus de sport.;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180972;roulage liberté plaisir;roulage liberté plaisir;roulage liberté plaisir;;;;;;;La distanciation familiale et plus largement sociale être limité dans ses déplacements justifier de ses déplacements ne pas pratiquer la moto;;La distanciation familiale et plus largement sociale être limité dans ses déplacements justifier de ses déplacements ne pas pratiquer la moto;;La distanciation familiale et plus largement sociale être limité dans ses déplacements justifier de ses déplacements ne pas pratiquer la moto;;;;Réduire l'usure de mes véhicules;;;;;;;;
103181159;sortir rouler voyaber;;;sortir rouler voyaber;;;;;;Pas de moto en balade;;Pas de moto en balade;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181213;Liberté Nature Voyages;Liberté Nature Voyages;;;;;;;;Manque de liberté, astreinte à domicile, projets de voyages remis d'un an;;Manque de liberté, astreinte à domicile, projets de voyages remis d'un an;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103180742;Liberté Soulagement Evasion;Liberté Soulagement Evasion;;;;;;;;Difficulté du télétravail;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
