Nombre de Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?;Étiquettes de colonnes;;;
Étiquettes de lignes;False;True;(vide);Total général
0;;2;;2
1;20;16;;36
2;5;3;;8
3;5;1;;6
4;15;8;;23
5;7;5;;12
6;75;63;;138
7;9;6;;15
8;8;5;;13
9;3;1;;4
10;14;5;;19
11;3;7;;10
12;15;4;;19
13;99;67;;166
14;19;6;;25
15;7;2;;9
16;8;2;;10
17;25;14;;39
18;7;6;;13
19;5;8;;13
20;2;1;;3
21;46;27;;73
22;15;11;;26
24;13;15;;28
25;26;18;;44
26;44;27;;71
27;28;14;;42
28;35;14;;49
29;25;18;;43
30;50;22;;72
31;110;96;;206
32;17;18;;35
33;135;93;;228
34;86;67;;153
35;25;23;;48
36;6;7;;13
37;24;20;;44
38;79;70;;149
39;12;6;;18
40;18;24;;42
41;9;2;;11
42;28;32;;60
43;7;15;;22
44;51;51;;102
45;19;18;;37
46;13;4;;17
47;12;10;;22
49;14;13;;27
50;6;8;;14
51;13;24;;37
52;5;11;;16
53;8;3;;11
54;24;26;;50
55;5;2;;7
56;17;7;;24
57;21;11;;32
58;5;1;;6
59;107;52;;159
60;48;27;;75
61;13;11;;24
62;16;15;;31
63;36;9;;45
64;23;27;;50
65;6;3;;9
66;16;26;;42
67;29;29;;58
68;25;6;;31
69;136;122;;258
70;4;6;;10
71;14;18;;32
72;13;7;;20
73;22;20;;42
74;45;18;;63
75;100;67;;167
76;42;27;;69
77;71;57;;128
78;71;46;;117
79;23;14;;37
80;16;14;;30
81;16;10;;26
82;7;6;;13
83;42;30;;72
84;26;16;;42
85;18;5;;23
86;15;18;;33
87;23;17;;40
88;22;22;;44
89;18;9;;27
91;103;73;;176
92;85;96;;181
93;57;25;;82
94;63;49;;112
95;80;61;;141
97;15;11;;26
(vide);2;;;2
Total général;2870;2129;;4999
