Situation familiale;Sexe du membre;Nombre de 2rm conduits par le membre;Nombre d'enfants à charge;Département d'habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Seul(e) sans enfant;Homme;1;0;6;Moins de 30 ans;2009;600;Sportive;Employé;True
En couple sans enfant;Homme;1;0;6;60-69 ans;2006;1200;Trail / Supermotard;Retraité;False
En couple avec enfant(s);Homme;3;1;13;50-59 ans;2014;850;;Cadre;False
En couple avec enfant(s);Femme;1;2;75;30-39 ans;2017;650;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;2;13;40-49 ans;2000;1200;Roadster;Employé;True
En couple sans enfant;Homme;1;0;55;60-69 ans;2009;1300;Routière / GT;Retraité;False
Autre;Homme;1;0;64;60-69 ans;2014;1400;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;3;2;69;40-49 ans;2016;750;Roadster;Profession intermédiaire;False
Seul(e) sans enfant;Homme;3;0;87;Moins de 30 ans;2007;990;Trail / Supermotard;Employé;False
En couple sans enfant;Homme;1;0;75;40-49 ans;2015;675;Scooter;Cadre;False
Seul(e) sans enfant;Homme;1;0;6;Moins de 30 ans;2012;650;Sportive;Cadre;False
En couple sans enfant;Homme;2;0;68;50-59 ans;2008;1000;Trail / Supermotard;Cadre;False
En couple sans enfant;Homme;1;0;19;60-69 ans;2011;500;Routière / GT;Retraité;False
En couple sans enfant;Homme;1;0;87;Moins de 30 ans;2008;600;Roadster;Employé;False
Seul(e) sans enfant;Homme;1;0;31;30-39 ans;2002;1000;Roadster;Employé;True
En couple avec enfant(s);Homme;1;3;22;40-49 ans;2008;650;Sportive;Employé;False
Seul(e) sans enfant;Homme;2;0;46;60-69 ans;1996;1100;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;2;91;50-59 ans;2017;1200;Trail / Supermotard;Cadre;False
En couple sans enfant;Homme;1;0;69;60-69 ans;2017;1400;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;2;1;44;50-59 ans;1993;900;Sportive;Ouvrier;False
En couple avec enfant(s);Homme;1;1;3;40-49 ans;2005;1000;Trail / Supermotard;Profession libérale et artistique;False
Seul(e) sans enfant;Homme;2;0;92;40-49 ans;2017;939;Sportive;Profession intermédiaire;True
Seul(e) sans enfant;Homme;1;0;13;Moins de 30 ans;1992;600;Trail / Supermotard;Employé;False
En couple avec enfant(s);Homme;1;1;95;40-49 ans;2014;125;Scooter;Cadre;True
