Sexe du membre;Nombre de 2rm conduits par le membre;Département d habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Homme;1;6;Moins de 30 ans;2009;600;Sportive;True
Homme;1;6;60-69 ans;2006;1200;Trail / Supermotard;False
Femme;1;75;30-39 ans;2017;650;Roadster;False
Homme;1;13;40-49 ans;2000;1200;Roadster;True
Homme;1;55;60-69 ans;2009;1300;Routière / GT;False
Homme;1;64;60-69 ans;2014;1400;Routière / GT;False
Homme;3;69;40-49 ans;2016;750;Roadster;False
Homme;3;87;Moins de 30 ans;2007;990;Trail / Supermotard;False
Homme;1;75;40-49 ans;2015;675;Scooter;False
Homme;1;6;Moins de 30 ans;2012;650;Sportive;False
Homme;2;68;50-59 ans;2008;1000;Trail / Supermotard;False
Homme;1;19;60-69 ans;2011;500;Routière / GT;False
Homme;1;87;Moins de 30 ans;2008;600;Roadster;False
Homme;1;31;30-39 ans;2002;1000;Roadster;True
Homme;1;22;40-49 ans;2008;650;Sportive;False
Homme;2;46;60-69 ans;1996;1100;Routière / GT;False
Homme;1;91;50-59 ans;2017;1200;Trail / Supermotard;False
Homme;1;69;60-69 ans;2017;1400;Routière / GT;False
Homme;2;44;50-59 ans;1993;900;Sportive;False
Homme;1;3;40-49 ans;2005;1000;Trail / Supermotard;False
Homme;2;92;40-49 ans;2017;939;Sportive;True
Homme;1;13;Moins de 30 ans;1992;600;Trail / Supermotard;False
Homme;1;95;40-49 ans;2014;125;Scooter;True
Homme;3;77;40-49 ans;2014;1690;Routière / GT;False
Homme;1;75;40-49 ans;2015;800;Trail / Supermotard;False
Homme;4;34;50-59 ans;1992;600;Trail / Supermotard;False
Homme;1;25;40-49 ans;2012;675;Roadster;False
Homme;1;94;50-59 ans;2019;1050;Roadster;False
Homme;3;13;50-59 ans;1987;650;Trail / Supermotard;False
Femme;3;28;40-49 ans;2015;650;Sportive;False
Homme;1;31;40-49 ans;2004;1200;Routière / GT;False
Homme;1;74;60-69 ans;2012;1200;Trail / Supermotard;False
Homme;6;59;60-69 ans;2016;750;Roadster;False
Homme;1;40;50-59 ans;1993;1200;Roadster;False
Homme;1;1;60-69 ans;2011;1300;Routière / GT;False
Homme;6;10;40-49 ans;2009;1300;Roadster;False
Homme;1;95;30-39 ans;2010;1300;Roadster;False
Homme;3;17;50-59 ans;2003;1000;Sportive;False
Homme;1;95;40-49 ans;2010;1198;Sportive;False
Homme;1;95;50-59 ans;2002;1150;Routière / GT;False
Homme;1;33;40-49 ans;2010;650;Roadster;False
Homme;2;49;60-69 ans;2013;800;Roadster;False
Homme;2;10;60-69 ans;2005;1450;Routière / GT;False
Homme;2;14;60-69 ans;2016;800;Roadster;False
Femme;1;75;40-49 ans;2011;125;Scooter;False
Homme;2;77;40-49 ans;2019;1200;Trail / Supermotard;False
Homme;1;93;40-49 ans;2008;700;Routière / GT;False
Homme;4;92;60-69 ans;2017;1200;Routière / GT;False
Homme;1;42;60-69 ans;2004;1600;Custom;False
Homme;1;15;50-59 ans;2003;1200;Routière / GT;False
Homme;1;64;50-59 ans;2011;800;Routière / GT;True
Homme;1;92;50-59 ans;2010;400;Side-car / Trike;False
Homme;1;11;70 et plus;2017;1200;Roadster;False
Homme;2;63;60-69 ans;2015;1200;Trail / Supermotard;False
Homme;1;62;50-59 ans;2009;1000;Roadster;False
Homme;1;6;50-59 ans;2013;1200;Routière / GT;False
Homme;2;19;50-59 ans;2014;650;Trail / Supermotard;False
Femme;1;13;50-59 ans;1996;125;Custom;False
Homme;1;89;40-49 ans;2003;1000;Sportive;False
Homme;1;95;40-49 ans;2015;1200;Trail / Supermotard;False
Homme;1;31;60-69 ans;2015;1200;Routière / GT;False
Homme;1;15;70 et plus;2015;500;Roadster;False
Homme;2;93;50-59 ans;2011;500;Roadster;False
Homme;1;42;60-69 ans;2018;1260;Roadster;False
Homme;1;79;40-49 ans;2000;600;Roadster;False
Homme;1;13;60-69 ans;2006;700;Routière / GT;False
Homme;2;31;40-49 ans;2014;1200;Routière / GT;False
Homme;1;72;60-69 ans;2012;1200;Routière / GT;False
Femme;2;73;50-59 ans;2000;1000;Sportive;False
Homme;1;40;60-69 ans;2018;850;Roadster;True
Homme;2;59;50-59 ans;2003;1200;Sportive;False
Homme;2;34;50-59 ans;2017;650;Roadster;True
Femme;1;95;30-39 ans;2017;900;Roadster;False
Femme;1;33;30-39 ans;2010;675;Sportive;False
Homme;1;59;70 et plus;2009;1200;Roadster;False
Homme;1;60;50-59 ans;2011;1300;Routière / GT;False
Homme;2;91;50-59 ans;2016;950;Routière / GT;False
Homme;1;14;40-49 ans;2006;1200;Routière / GT;False
Homme;2;94;60-69 ans;2019;1250;Trail / Supermotard;False
Homme;1;67;50-59 ans;1983;550;Roadster;False
Homme;1;77;50-59 ans;2011;1000;Roadster;False
Homme;2;75;50-59 ans;2007;600;Roadster;False
Homme;2;83;30-39 ans;2017;1000;Roadster;False
Homme;1;60;30-39 ans;2019;300;Roadster;False
Homme;1;81;40-49 ans;2011;1100;Roadster;False
Homme;1;93;40-49 ans;2013;1190;Trail / Supermotard;False
Homme;1;91;40-49 ans;2005;1300;Roadster;False
Homme;1;91;50-59 ans;2013;1200;Routière / GT;True
Homme;1;95;40-49 ans;2016;1050;Roadster;False
Homme;1;77;30-39 ans;2012;1200;Routière / GT;False
Homme;1;59;60-69 ans;2007;1200;Roadster;False
Homme;3;87;50-59 ans;2013;1200;Routière / GT;False
Homme;1;91;40-49 ans;2019;900;Roadster;False
Homme;1;33;50-59 ans;2007;1000;Roadster;False
Homme;1;74;40-49 ans;2003;900;Roadster;False
Homme;2;6;50-59 ans;1999;1100;Roadster;False
Homme;1;35;30-39 ans;1997;750;Roadster;False
Homme;2;40;Moins de 30 ans;2004;650;Sportive;True
Homme;2;69;60-69 ans;2015;1400;Routière / GT;False
Homme;3;37;50-59 ans;2004;650;Trail / Supermotard;False
Homme;1;28;60-69 ans;2008;1200;Trail / Supermotard;False
Homme;1;78;50-59 ans;2005;500;Scooter;False
Homme;3;27;30-39 ans;2008;1200;Roadster;False
Homme;1;76;70 et plus;2001;1400;Roadster;False
Homme;2;69;40-49 ans;2008;1100;Roadster;False
Homme;3;77;50-59 ans;2014;1300;Routière / GT;False
Homme;1;1;50-59 ans;2008;1000;Roadster;False
Homme;1;6;40-49 ans;2014;1300;Roadster;False
Homme;1;93;60-69 ans;2015;1000;Roadster;False
Homme;2;30;40-49 ans;2012;1250;Roadster;False
Homme;2;74;Moins de 30 ans;2017;1100;Roadster;False
Homme;1;63;60-69 ans;2007;650;Roadster;False
Homme;2;1;40-49 ans;1993;1100;Custom;False
Homme;8;33;60-69 ans;2014;800;Routière / GT;True
Homme;1;95;50-59 ans;2007;1400;Routière / GT;False
Femme;2;13;50-59 ans;2012;125;Custom;True
Homme;1;33;30-39 ans;2012;800;Roadster;True
Homme;2;6;50-59 ans;2019;650;Routière / GT;True
Homme;1;94;50-59 ans;2006;400;Scooter;True
Homme;1;69;40-49 ans;2018;1200;Trail / Supermotard;False
Homme;1;6;60-69 ans;2011;1200;Roadster;False
Homme;5;92;70 et plus;1979;500;Roadster;False
Homme;1;78;70 et plus;1991;1100;Roadster;False
Homme;1;33;40-49 ans;2007;650;Roadster;True
Homme;3;32;60-69 ans;2015;125;Scooter;False
Homme;1;25;40-49 ans;2016;1000;Roadster;False
Homme;1;77;50-59 ans;2010;750;Sportive;False
Homme;3;38;50-59 ans;2000;1300;Roadster;False
Homme;1;95;50-59 ans;1996;600;Scooter;False
Homme;1;84;60-69 ans;2011;1300;Roadster;False
Homme;1;83;70 et plus;2012;1300;Routière / GT;False
Homme;2;85;40-49 ans;2009;1200;Routière / GT;False
Homme;1;67;40-49 ans;2008;600;Sportive;False
Homme;1;30;60-69 ans;2009;650;Roadster;False
Homme;1;69;30-39 ans;2012;600;Roadster;False
Homme;9;10;40-49 ans;2003;1200;Roadster;False
Homme;1;31;40-49 ans;2019;900;Trail / Supermotard;False
Homme;1;71;60-69 ans;2018;1745;Custom;False
Homme;3;31;60-69 ans;2009;800;Roadster;False
Homme;1;44;40-49 ans;2018;883;Roadster;False
